Eje_X_Distancia Banda_1 Banda_2 Banda_3
6.33187791e+00 -4.63577163e-01 2.47534759e+00 3.80051049e+00
6.35622421e+00 -4.63664441e-01 2.47578194e+00 3.80051445e+00
6.38057051e+00 -4.63786057e-01 2.47638975e+00 3.80051948e+00
6.40491681e+00 -4.63941438e-01 2.47717076e+00 3.80052505e+00
6.42926311e+00 -4.64129851e-01 2.47812462e+00 3.80053050e+00
6.45360941e+00 -4.64350402e-01 2.47925091e+00 3.80053501e+00
6.47795571e+00 -4.64602040e-01 2.48054912e+00 3.80053763e+00
6.50230201e+00 -4.64883559e-01 2.48201868e+00 3.80053726e+00
6.52664831e+00 -4.65193598e-01 2.48365893e+00 3.80053268e+00
6.55099461e+00 -4.65530648e-01 2.48546916e+00 3.80052250e+00
6.57534091e+00 -4.65893051e-01 2.48744854e+00 3.80050522e+00
6.59968721e+00 -4.66279008e-01 2.48959620e+00 3.80047923e+00
6.62403351e+00 -4.66686580e-01 2.49191119e+00 3.80044274e+00
6.64837981e+00 -4.67113692e-01 2.49439248e+00 3.80039391e+00
6.67272611e+00 -4.67558137e-01 2.49703897e+00 3.80033071e+00
6.69707241e+00 -4.68017583e-01 2.49984947e+00 3.80025106e+00
6.72141871e+00 -4.68489578e-01 2.50282274e+00 3.80015274e+00
6.74576501e+00 -4.68971551e-01 2.50595745e+00 3.80003342e+00
6.77011131e+00 -4.69460821e-01 2.50925222e+00 3.79989070e+00
6.79445761e+00 -4.69954602e-01 2.51270558e+00 3.79972207e+00
6.81880391e+00 -4.70450008e-01 2.51631600e+00 3.79952494e+00
6.84315021e+00 -4.70944059e-01 2.52008186e+00 3.79929664e+00
6.86749651e+00 -4.71433687e-01 2.52400149e+00 3.79903442e+00
6.89184281e+00 -4.71915743e-01 2.52807316e+00 3.79873547e+00
6.91618911e+00 -4.72387003e-01 2.53229505e+00 3.79839690e+00
6.94053541e+00 -4.72844175e-01 2.53666529e+00 3.79801580e+00
6.96488171e+00 -4.73283902e-01 2.54118192e+00 3.79758916e+00
6.98922801e+00 -4.73702775e-01 2.54584296e+00 3.79711397e+00
7.01357431e+00 -4.74097334e-01 2.55064631e+00 3.79658717e+00
7.03792061e+00 -4.74464077e-01 2.55558985e+00 3.79600567e+00
7.06226691e+00 -4.74799469e-01 2.56067139e+00 3.79536634e+00
7.08661321e+00 -4.75099946e-01 2.56588865e+00 3.79466606e+00
7.11095951e+00 -4.75361920e-01 2.57123932e+00 3.79390169e+00
7.13530581e+00 -4.75581792e-01 2.57672103e+00 3.79307009e+00
7.15965211e+00 -4.75755954e-01 2.58233134e+00 3.79216810e+00
7.18399841e+00 -4.75880799e-01 2.58806774e+00 3.79119261e+00
