Eje_X_Distancia Banda_1 Banda_2 Banda_3
4.63859318e+00 -1.63188759e-01 1.73776748e+00 3.41828584e+00
4.65264952e+00 -1.68502377e-01 1.74529577e+00 3.41675537e+00
4.66670587e+00 -1.73885388e-01 1.75291840e+00 3.41521444e+00
4.68076221e+00 -1.79332186e-01 1.76062660e+00 3.41366577e+00
4.69481855e+00 -1.84837269e-01 1.76841170e+00 3.41211215e+00
4.70887489e+00 -1.90395247e-01 1.77626508e+00 3.41055637e+00
4.72293124e+00 -1.96000849e-01 1.78417820e+00 3.40900130e+00
4.73698758e+00 -2.01648918e-01 1.79214262e+00 3.40744979e+00
4.75104392e+00 -2.07334426e-01 1.80015000e+00 3.40590475e+00
4.76510027e+00 -2.13052467e-01 1.80819209e+00 3.40436910e+00
4.77915661e+00 -2.18798263e-01 1.81626075e+00 3.40284578e+00
4.79321295e+00 -2.24567168e-01 1.82434796e+00 3.40133776e+00
4.80726930e+00 -2.30354662e-01 1.83244581e+00 3.39984799e+00
4.82132564e+00 -2.36156360e-01 1.84054650e+00 3.39837948e+00
4.83538198e+00 -2.41968005e-01 1.84864240e+00 3.39693520e+00
4.84943832e+00 -2.47785474e-01 1.85672595e+00 3.39551813e+00
4.86349467e+00 -2.53604772e-01 1.86478978e+00 3.39413127e+00
4.87755101e+00 -2.59422036e-01 1.87282663e+00 3.39277757e+00
4.89160735e+00 -2.65233531e-01 1.88082940e+00 3.39146000e+00
4.90566370e+00 -2.71035651e-01 1.88879112e+00 3.39018148e+00
4.91972004e+00 -2.76824915e-01 1.89670500e+00 3.38894493e+00
4.93377638e+00 -2.82597969e-01 1.90456438e+00 3.38775322e+00
4.94783273e+00 -2.88351582e-01 1.91236281e+00 3.38660917e+00
4.96188907e+00 -2.94082642e-01 1.92009395e+00 3.38551558e+00
4.97594541e+00 -2.99788161e-01 1.92775168e+00 3.38447519e+00
4.99000175e+00 -3.05465266e-01 1.93533004e+00 3.38349065e+00
5.00405810e+00 -3.11111201e-01 1.94282325e+00 3.38256459e+00
5.01811444e+00 -3.16723323e-01 1.95022573e+00 3.38169953e+00
5.03217078e+00 -3.22299100e-01 1.95753210e+00 3.38089791e+00
5.04622713e+00 -3.27836110e-01 1.96473717e+00 3.38016211e+00
5.06028347e+00 -3.33332039e-01 1.97183594e+00 3.37949437e+00
5.07433981e+00 -3.38784674e-01 1.97882366e+00 3.37889687e+00
5.08839615e+00 -3.44191910e-01 1.98569577e+00 3.37837164e+00
5.10245250e+00 -3.49551736e-01 1.99244793e+00 3.37792061e+00
5.11650884e+00 -3.54862245e-01 1.99907604e+00 3.37754557e+00
5.13056518e+00 -3.60121621e-01 2.00557622e+00 3.37724819e+00
5.14462153e+00 -3.65328143e-01 2.01194484e+00 3.37703000e+00
5.15867787e+00 -3.70480182e-01 2.01817851e+00 3.37689236e+00
5.17273421e+00 -3.75576196e-01 2.02427406e+00 3.37683650e+00
5.18679056e+00 -3.80614731e-01 2.03022860e+00 3.37686347e+00
5.20084690e+00 -3.85594418e-01 2.03603948e+00 3.37697417e+00
5.21490324e+00 -3.90513967e-01 2.04170432e+00 3.37716932e+00
5.22895958e+00 -3.95372173e-01 2.04722097e+00 3.37744947e+00
5.24301593e+00 -4.00167904e-01 2.05258756e+00 3.37781498e+00
5.25707227e+00 -4.04900108e-01 2.05780248e+00 3.37826604e+00
5.27112861e+00 -4.09567804e-01 2.06286438e+00 3.37880264e+00
5.28518496e+00 -4.14170082e-01 2.06777219e+00 3.37942459e+00
5.29924130e+00 -4.18706106e-01 2.07252507e+00 3.38013150e+00
5.31329764e+00 -4.23175102e-01 2.07712246e+00 3.38092281e+00
5.32735399e+00 -4.27576365e-01 2.08156406e+00 3.38179775e+00
5.34141033e+00 -4.31909254e-01 2.08584984e+00 3.38275536e+00
5.35546667e+00 -4.36173186e-01 2.08997999e+00 3.38379451e+00
5.36952301e+00 -4.40367643e-01 2.09395498e+00 3.38491386e+00
5.38357936e+00 -4.44492159e-01 2.09777552e+00 3.38611189e+00
5.39763570e+00 -4.48546329e-01 2.10144254e+00 3.38738692e+00
5.41169204e+00 -4.52529799e-01 2.10495723e+00 3.38873707e+00
5.42574839e+00 -4.56442268e-01 2.10832100e+00 3.39016030e+00
5.43980473e+00 -4.60283486e-01 2.11153546e+00 3.39165440e+00
5.45386107e+00 -4.64053249e-01 2.11460246e+00 3.39321700e+00
5.46791741e+00 -4.67751404e-01 2.11752403e+00 3.39484559e+00
5.48197376e+00 -4.71377838e-01 2.12030241e+00 3.39653750e+00
5.49603010e+00 -4.74932485e-01 2.12294003e+00 3.39828993e+00
5.51008644e+00 -4.78415319e-01 2.12543948e+00 3.40009993e+00
5.52414279e+00 -4.81826353e-01 2.12780351e+00 3.40196447e+00
5.53819913e+00 -4.85165638e-01 2.13003504e+00 3.40388036e+00
5.55225547e+00 -4.88433263e-01 2.13213714e+00 3.40584434e+00
5.56631182e+00 -4.91629349e-01 2.13411300e+00 3.40785305e+00
5.58036816e+00 -4.94754050e-01 2.13596593e+00 3.40990302e+00
5.59442450e+00 -4.97807554e-01 2.13769936e+00 3.41199074e+00
5.60848084e+00 -5.00790074e-01 2.13931682e+00 3.41411262e+00
5.62253719e+00 -5.03701855e-01 2.14082193e+00 3.41626499e+00
5.63659353e+00 -5.06543165e-01 2.14221837e+00 3.41844417e+00
5.65064987e+00 -5.09314298e-01 2.14350992e+00 3.42064641e+00
5.66470622e+00 -5.12015570e-01 2.14470040e+00 3.42286795e+00
5.67876256e+00 -5.14647320e-01 2.14579366e+00 3.42510501e+00
5.69281890e+00 -5.17209903e-01 2.14679363e+00 3.42735378e+00
5.70687525e+00 -5.19703696e-01 2.14770422e+00 3.42961046e+00
5.72093159e+00 -5.22129091e-01 2.14852938e+00 3.43187126e+00
5.73498793e+00 -5.24486493e-01 2.14927307e+00 3.43413239e+00
5.74904427e+00 -5.26776323e-01 2.14993925e+00 3.43639009e+00
5.76310062e+00 -5.28999014e-01 2.15053184e+00 3.43864061e+00
